ID,ResourceType,ResourceKey,AssetKind,AssetPath,SceneBinding,OutputBinding,BindingMode,BeginAction,EndAction,MissingPolicy,Note
1,SceneObject,TempColdDoor1,SceneObject,ColdDoor_1,,,SceneBinding,Open,KeepOpen,ReportUnbound,1회차 문 열림 대상. 실제 씬 오브젝트와 연결. 열림 시간/회전 각도는 미정.
2,Audio,TempDoorOpenAudio,AudioClip,작업중,,,TargetID,PlayCut,Stop,SkipOptional,1회차 문 오픈 사운드. 기획서 지정 dummy.wav. 실제 파일 경로는 개발 연결.
3,Ghost,TempWomanGhostBehind,Prefab,,,,PlayerRelative,SpawnBehindCamera,ReleaseOwned,ReportUnbound,2회차 여자 귀신. 현재 카메라 바라보는 방향의 반대쪽 기준으로 스폰. 고정 거리는 미정.
4,Trigger,TempPlayerInputBlock,Component,,,,Player,BlockInput,ReleaseInput,ReportUnbound,2회차 화면 중앙 인지 후 1초간 이동 및 시점 조작 제한.
5,SceneObject,TempBloodTextLayer,SceneObject,,,,SceneBinding,Activate,Deactivate,ReportUnbound,3회차 빈소 입구 정숙하세요 문구 위 피 글씨 레이어. 아트 작업중.
6,Trigger,TempCorridorTrigger,SceneObject,작업중,,,SceneBinding,Subscribe,Unsubscribe,ReportUnbound,3회차 복도 지정 Collider. 진입 시 깜빡임/정전/귀신 달리기 연출 시작.
7,Ghost,TempCrawlingWomanGhost,Prefab,,,,PlayerRelative,SpawnAndRunThrough,ReleaseOwned,ReportUnbound,3회차 기어다니는 여자 귀신. 플레이어를 향해 달려와 통과. 도달 후 처리 미정.
8,Trigger,TempCameraShake,Component,Cinecamera,,,Player,PlayShake,StopShake,SkipOptional,3회차 카메라 셰이크. 강도와 지속 시간은 미정.
9,Audio,TempHeartbeatAudio,AudioClip,작업중,,,Player,PlayCut,Stop,SkipOptional,4회차 심장박동 사운드. 실제 클립/볼륨은 개발 연결.
10,Audio,TempEnvironmentAudio,AudioClip,작업중,,,SceneBinding,RestoreCut,Stop,SkipOptional,4회차 기존 환경음. 귀신 소멸 후 복구. Crossfade 적용 여부는 확인 필요.
11,Ghost,TempManGhostFuneral,Prefab,,,,SceneBinding,Show,ReleaseOwned,ReportUnbound,4회차 빈소 4번 앞 화환 뒤 남자 귀신. 접근 시 안쪽으로 들어가며 소멸.
12,Video,TempEndingVideo,VideoClip,작업중,,,OutputBinding,PlayOwned,StopOwned,ReportUnbound,4회차 영정사진 클리어 후 재생할 엔딩 영상. 실제 영상 출력 연결 필요.
