ID,Item,Guide
1,기준 자료,"모너리스 이상현상 재정리_R5.txt와 Monourless_DataTable_R5.xlsx를 반영했습니다. 1회차 관 부양, 테이블 Z축 +50, RealTime 밀리초 단위는 2026-09-17 사용자 확인입니다."
2,구조,Round → Schedule → Quest → Anomaly → Detail. 연출은 Anomaly H열·Quest L열의 DirectionGroupID와 Direction B열 AnomalyID가 같은 행 목록입니다. 0이면 연출을 조회·실행하지 않습니다.
3,발생 수,"회차당 고정 1개·유동 2개, 총 3개입니다. 1~3회차는 01:30 고정, 23:30·03:30 유동입니다. 4회차는 03:30 고정, 23:30·01:30 유동입니다. 귀신 연출은 사건 수에 포함하지 않습니다."
4,확률,유동 ScheduleID마다 334+333+333=1000입니다. 시간대별 후보 3개 중 1개를 추첨하며 방 재입장으로 재추첨하지 않습니다.
5,고정 사건,"SpawnType=0, Weight=0은 반드시 발생하는 고정 사건입니다. 확률 0으로 제외하지 않습니다. 유동은 SpawnType=1입니다."
6,게임 시각과 실제 시간,RealTime은 22:00 회차 시작 기준의 누적 밀리초(ms) 225000·525000·825000입니다. 각각 225·525·825초입니다. 스킵 보정과 실제 경과 기록은 분리합니다.
7,23:00 중간 복귀,23:00 복귀는 중간 복귀입니다. 최종 복귀·순찰 종료로 처리하지 않고 23:30부터 다시 순찰합니다.
8,최종 복귀,23:30 이후 최종 복귀 시 경고 후 순찰을 잠급니다. 이른 복귀라도 미래 시간표는 유지되므로 해당 사건이 미해결이면 정산에서 실패합니다.
9,최종 정산,06:00 도달 또는 03:30 사건 해결 후 최종 복귀·스킵 선택 시 정산합니다. 마감 전 복귀와 실제 발생한 모든 사건 해결이 성공 조건입니다.
10,동시 유지 확정,이전 미해결 현상은 다음 시간대에도 유지합니다. 같은 방과 같은 물체가 다시 선택되어도 이전 사건을 자동 복구·해결·삭제하지 않습니다. 2026-09-17 사용자 확인.
11,중첩 복구,사건별 해결 상태를 따로 기록하고 다른 사건을 함께 해결하지 않습니다. 현재 R4에서 테이블 부양·삭제는 같은 회차에 배정되지 않습니다. 추후 두 현상을 함께 배정할 경우 삭제 해결 뒤에도 미해결 부양은 유지해야 합니다.
12,정상 상태,회차 시작 시 정상 위치·표시·개체를 저장합니다. 뒤 시간대의 발생 시점에 앞 이상 상태를 새 정상값으로 저장하지 않습니다.
13,입력,"Object는 대상 물체, MissingObjectArea는 삭제된 물체의 원래 위치 영역, ShadowArea는 그림자 영역, ObjectGroup은 방석 묶음입니다."
14,3회차 고정,"A 3 / D 8은 베개 삭제·복원 한 쌍입니다. 원래 위치 영역을 2초간 키 홀드하여 베개를 복원합니다. 복원 후 Direction 5의 피 글씨 연출을 실행하며, Direction 6은 복도 트리거 진입 시 실행합니다."
15,4회차 고정,A 4 / D 11은 기존 상주 의자 위 사진 추가·제거 한 쌍입니다. 추가 의자와 순차 해결 잠금은 제거했습니다. 부부 귀신은 Direction 12·13입니다.
16,완료 기준 유지,모든 사건은 사용자가 확정한 PrimaryInteractionResolved를 유지합니다. 대표 Detail 복구가 끝나면 해결입니다. 귀신 연출 종료는 해결·스킵 가능 판정의 선행 조건이 아닙니다.
17,연출 시간 유지,1회차는 꽃병 2초 홀드 후 0.5초 뒤 문 열림입니다. 여자 귀신 소멸·조작 잠금은 제외합니다. 3·4회차 연출 수치는 별도 검토 대상이며 이번에 변경하지 않습니다.
18,R5 시계 대체,"Q 5·19는 관 전체 Y축 +50, Q 8은 영안실 시계 삭제, Q 16은 같은 벽 시계 Y축 -50입니다. 시계의 표시 시간을 변경하는 이상현상은 사용하지 않습니다."
19,연출 작성,"Direction B열은 그룹 기준, A열은 개별 연출 ID입니다. 그룹 1=1·2 / 2=3·4 / 3=5·6 / 4=7·8. 그룹의 모든 행을 즉시 또는 ID순으로 실행하지 않습니다. 각 행의 TriggerType·PrerequisiteDirectionID를 따릅니다."
20,Prefab 입력,TargetCodes H열 예시: Assets/Prefabs/Anomalies/Vase.prefab. I열은 Prefab 내부 경로입니다. 실제 경로와 씬 대상·선택 영역은 해당 프로젝트에서 입력합니다.
21,Quest ID 순서,Quest ID는 회차·발생 시각 순서로 1~28을 부여합니다. 같은 시간의 유동 후보는 기존 후보 순서를 유지합니다. 고정 사건은 Q 4·11·18·28입니다. Schedule·Anomaly·Detail·Target ID는 유지합니다.
22,메서드 한 쌍,각 Anomaly는 대표 Detail 1개만 가집니다. BeginMethod·ResolveMethod는 해당 Detail의 Phenomenon·Resolve를 참조하는 같은 한 쌍이며 별도 추가 호출이 아닙니다.
23,수정 범위,"Quest 28개·Round 4개·Schedule 12개를 유지합니다. 사건과 대표 Detail은 각 23개, Direction은 8개(4개 그룹), MovementParameter는 9개입니다. 연출 없는 사건 19개는 DirectionGroupID=0입니다."
24,남은 설정,"관 내부 안광 연출은 구현 대상에서 제외합니다. 상승 시간, 뒤돌기 기준, 이동 단위·좌표계·기준점, 방석 목적지, 실패 후 재도전 정책은 미정입니다. 시계 30분 표시 정책은 이상현상 구현에서 제외합니다."
25,일반 스킵,"23:30 사건 해결 시 다음 01:30, 01:30 사건 해결 시 다음 03:30으로 이동합니다. 다음 시간표는 1회만 실행하며 이전 미해결 사건은 남깁니다."
26,스킵과 타이머 예시,실제 300초에 첫 사건을 해결하고 스킵하면 진행값은 525000ms로 이동합니다. 실제 경과는 300000ms 그대로입니다. 03:30까지 남은 구간은 300000ms입니다. 귀신의 1·2초 타이머는 건너뛰지 않습니다.
27,확정 이동값 유지,"관 뚜껑 Y축 30도와 냉장고 문 Y축 90도를 유지합니다. Value는 숫자 30·90, Unit은 Degree입니다. 사용자가 삭제한 미사용 이불 이동 행은 현재 실행 표에서 제외했습니다."
28,대상 코드 유지,Vase·WomanGhost·Chair·Clock 등 사용자가 정리한 공통 코드를 유지합니다. 유일한 배치 식별자는 TargetCodes.ID입니다. 중복 TargetCode를 단일 배치 키로 조회하지 않습니다.
29,R5 변경 배정,Q 5·19: 관 Y축 +50. Q 8: 영안실 시계 삭제. Q 16: 영안실 시계 Y축 -50. Q 20: 운구 테이블 Z축 +50. Q 27: 냉장고 문 열림. Q 28: 4회차 고정 영정사진 추가.
30,미사용 기록,기존 미사용 A 17·21·23과 D 7·10·26·30·32는 실행하지 않습니다. T 15 입관실 시계는 R5 이상현상에서 참조하지 않으며 배치 정보만 보존합니다.
31,연출로 이동한 단계,"플레이어 해결 현상은 Detail, 후속 연출은 Direction에서 관리합니다. 1회차는 Detail 1 → Direction 1 → 문 리소스 1입니다. 기존 1회차 여자 귀신 연출은 제외합니다. 나머지 연출 연결은 단계별로 검토합니다."
32,미사용 시계 수치,Parameters 8·9·12의 값은 보존하되 DetailIDs를 비웠습니다. 모든 활성 Detail.ParameterIDs는 비어 있습니다. 해당 시계 수치를 실행에 사용하지 마십시오. DirectionParameter의 연출 시간은 계속 사용합니다.
33,R5 이동 참조,관 전체 부양 D 17 → 이동 7 → T 26. 영안실 시계 이동 D 34 → 이동 8 → T 25. 테이블 Z축 이동 D 35 → 이동 9 → T 18. 기존 테이블 Y축 부양 D 20 → 이동 3은 별도 유지합니다.
34,시간 단위 구분,Quest.RealTime만 밀리초(ms)입니다. DirectionParameter.Unit=Second와 DurationSeconds·ExtraDurationSeconds는 초(s)를 유지합니다. RealTime은 일반 진행 기준 게임 1분당 2500ms로 계산합니다.
